,tr_main_law,tr_draft,tr_category
761,"On the ratification of the Agreement on Jurisdiction and Legal Assistance in Cases Related to the Temporary Stay of Formations of Forces and Means of the Collective Security System in the Territories of the Member States of the Collective Security Treaty Organization, signed on September 16, 2021 in the city of Dushanbe",About the draft Law,Empty
762,"On the ratification of the Agreement on Jurisdiction and Legal Assistance in Cases Related to the Temporary Stay of Formations of Forces and Means of the Collective Security System in the Territories of the Member States of the Collective Security Treaty Organization, signed on September 16, 2021 in the city of Dushanbe",About the draft Law,Empty
763,"On the ratification of the Agreement on Jurisdiction and Legal Assistance in Cases Related to the Temporary Stay of Formations of Forces and Means of the Collective Security System in the Territories of the Member States of the Collective Security Treaty Organization, signed on September 16, 2021 in the city of Dushanbe",About the draft Law,Empty
764,"On the ratification of the Agreement on the Joint Engineering Unit for Humanitarian Demining of the Armed Forces of the Member States of the Commonwealth of Independent States, signed on December 18, 2020",About the draft Law,Empty
765,"On the ratification of the Agreement on the Joint Engineering Unit for Humanitarian Demining of the Armed Forces of the Member States of the Commonwealth of Independent States, signed on December 18, 2020",About the draft Law,Empty
766,"On the ratification of the Agreement on the Joint Engineering Unit for Humanitarian Demining of the Armed Forces of the Member States of the Commonwealth of Independent States, signed on December 18, 2020",About the draft Law,Empty
767,"On the ratification of the Agreement on the Joint (Unified) Communication System of the Armed Forces of the Member States of the Commonwealth of Independent States, signed on May 29, 2020",About the draft Law,Empty
768,"On the ratification of the Agreement on the Joint (Unified) Communication System of the Armed Forces of the Member States of the Commonwealth of Independent States, signed on May 29, 2020",About the draft Law,Empty
769,"On the ratification of the Agreement on the Joint (Unified) Communication System of the Armed Forces of the Member States of the Commonwealth of Independent States, signed on May 29, 2020",About the draft Law,Empty
770,On the State Border of the Kyrgyz Republic and the invalidation of certain legislative acts of the Kyrgyz Republic,On amendments to the Law of the Kyrgyz Republic,About the draft Law
771,About physical culture and sports,On amendments to the Law of the Kyrgyz Republic,About the draft Law
772,About physical culture and sports,On amendments to the Law of the Kyrgyz Republic,About the draft Law
773,Kumtor Gold Company since the transfer to the ownership of the Kyrgyz Republic,"On the election of the chairman of the temporary deputy commission for the study of gold mining and sale, the activities of CJSC",On the draft resolution of the Jogorku Kenesh
774,About service in law enforcement agencies of the Kyrgyz Republic ),On amendments to the Law of the Kyrgyz Republic,About the draft Law
775,"On the state registration of legal entities, branches (representative offices)",On amendments to some legislative acts in the field of registration (re-registration) of legal entities and invalidation of the Law of the Kyrgyz Republic,About the draft Law
776,About the notary,About the draft Law,Empty
777,About medical insurance of citizens in the Kyrgyz Republic,On amendments to the Law of the Kyrgyz Republic,About the draft Law
778,About warehouses and warehouse certificates,On amendments to the Law of the Kyrgyz Republic,About the draft Law
779,"About trademarks, service marks, geographical indications and names of places of origin of goods",About the draft Law,Empty
780,On amendments to the Housing Code of the Kyrgyz Republic,About the draft Law,Empty
781,About the exchange of credit information,On amendments to the Law of the Kyrgyz Republic,About the draft Law
782,About pricing,About the draft Law,Empty
783,On amendments to some legislative acts of the Kyrgyz Republic on issues of state regulation of prices,About the draft Law,Empty
784,On consumer protection,On amendments to the Law of the Kyrgyz Republic,About the draft Law
785,About the state language of the Kyrgyz Republic,About the draft Law,Empty
786,On issues of the state language and language policy in the Kyrgyz Republic,On the draft resolution of the Jogorku Kenesh,Empty
787,On amendments to the Code of the Kyrgyz Republic on Offenses,About the draft Law,Empty
788,About external migration,On amendments to the Law of the Kyrgyz Republic,About the draft Law
789,On countering extremist activities,About the draft Law,Empty
790,On amendments to the Criminal Procedure Code of the Kyrgyz Republic,About the draft Law,Empty
791,About plant quarantine,On amendments to the Law of the Kyrgyz Republic,About the draft Law
792,About organic production,About the draft Law,Empty
793,On acts of civil status,On amendments to the Law of the Kyrgyz Republic,About the draft Law
794,"On the ratification of the Agreement on the Implementation of Auditing Activities within the Framework of the Eurasian Economic Union, signed on April 19, 2022 in Moscow",About the draft Law,Empty
795,About external migration,On amendments to the Law of the Kyrgyz Republic,About the draft Law
796,On the protection of State secrets of the Kyrgyz Republic,On amendments to the Law of the Kyrgyz Republic,About the draft Law
797,"On citizenship of the Kyrgyz Republic, On external migration"")""",About the draft Law,On amendments to some legislative acts of the Kyrgyz Republic (laws
798,On the people's legislative initiative in the Kyrgyz Republic,On amendments to the Law of the Kyrgyz Republic,About the draft Law
799,On amendments to some legislative acts of the Kyrgyz Republic in the field of state registration of rights to real estate and transactions with it,About the draft Law,Empty
800,About export control,On amendments to the Law of the Kyrgyz Republic,About the draft Law
801,"On Joint-stock companies"", On business partnerships and companies"")""",About the draft Law,On amendments to some legislative acts of the Kyrgyz Republic (laws
802,"On Domestic Trade in the Kyrgyz Republic, Code of Offences)",On amendments to some legislative acts of the Kyrgyz Republic (the law,About the draft Law
803,On the basics of state policy to support compatriots abroad,On amendments to the Law of the Kyrgyz Republic,About the draft Law
804,About state and municipal services,On amendments to the Law of the Kyrgyz Republic,About the draft Law
805,On the procedure for considering citizens' appeals,On amendments to the Law of the Kyrgyz Republic,About the draft Law
806,"On amendments to some legislative acts of the Kyrgyz Republic (Administrative Procedure Code, Civil Procedure Code)",About the draft Law,Empty
807,About the licensing and licensing system in the Kyrgyz Republic,On amendments to the Law of the Kyrgyz Republic,About the draft Law
808,On the budget of the Compulsory Medical Insurance Fund under the Ministry of Health of the Kyrgyz Republic for 2022 and the forecast for 2023-2024,On amendments to the Law of the Kyrgyz Republic,About the draft Law
809,On the budget of the Compulsory Medical Insurance Fund under the Ministry of Health of the Kyrgyz Republic for 2023 and the planning period 2024-2025,About the draft Law,Empty
810,On the budget of the Social Fund of the Kyrgyz Republic for 2022 and the forecast for 2023-2024,On amendments to the Law of the Kyrgyz Republic,About the draft Law
811,On the budget of the Social Fund of the Kyrgyz Republic for 2023 and the planning period 2024-2025,About the draft Law,Empty
812,About official statistics,On amendments to the Law of the Kyrgyz Republic,About the draft Law
813,About banks and banking activities,On the draft resolution of the Jogorku Kenesh,Empty
814,On amendments to the Code of the Kyrgyz Republic on Non-tax income,About the draft Law,Empty
815,On amendments to some legislative acts of the Kyrgyz Republic in the field of road safety ),About the draft Law,Empty
816,About service in law enforcement agencies of the Kyrgyz Republic ),On amendments to the Law of the Kyrgyz Republic,About the draft Law
817,On the abolition of some temporary deputy commissions of the Jogorku Kenesh of the Kyrgyz Republic of the VI convocation,On the draft resolution of the Jogorku Kenesh,Empty
818,On amendments to some legislative acts of the Kyrgyz Republic in the field of taxation,About the draft Law,Empty
819,On amendments to some legislative acts of the Kyrgyz Republic in the field of intellectual property,About the draft Law,Empty
820,About innovation activities,About the draft Law,Empty
821,On copyright and related rights and invalidation of certain legislative acts of the Kyrgyz Republic,On amendments to the Law of the Kyrgyz Republic,About the draft Law
822,Patent Law,About the draft Law,Empty
823,Manase,About,About the draft Law
824,"On carrying out an inventory of social benefits to citizens living in high-altitude, remote and hard-to-reach areas of the Kyrgyz Republic","On the implementation of Resolution No. 377-VII of the Jogorku Kenesh of the Kyrgyz Republic dated June 29, 2022",On the draft resolution of the Jogorku Kenesh
825,"On the ratification of the Additional Agreement to the Agreement between the Kyrgyz Republic and the Russian Federation on Cooperation on Border Issues dated July 17, 1999, signed on October 27, 2022 in Bishkek",About the draft Law,Empty
826,"On the ratification of the Additional Agreement to the Agreement between the Kyrgyz Republic and the Russian Federation on Cooperation on Border Issues dated July 17, 1999, signed on October 27, 2022 in Bishkek",About the draft Law,Empty
827,"On the ratification of the Additional Agreement to the Agreement between the Kyrgyz Republic and the Russian Federation on Cooperation on Border Issues dated July 17, 1999, signed on October 27, 2022 in Bishkek",About the draft Law,Empty
828,About youth,About the draft Law,Empty
829,"On the ratification of the Agreement between the Cabinet of Ministers of the Kyrgyz Republic and the Government of the Republic of Uzbekistan on the reconstruction and equipping of the building of the Osh State Academic Uzbek Musical Drama Theater named after Babur, signed on April 1, 2022 in Osh",About the draft Law,Empty
830,On Civil protection,On amendments to the Law of the Kyrgyz Republic,About the draft Law
831,On hydrometeorological activities in the Kyrgyz Republic,On amendments to the Law of the Kyrgyz Republic,About the draft Law
832,About emergency services and the status of rescuers,On amendments to the Law of the Kyrgyz Republic,About the draft Law
833,"On ratification of the Protocol on Amendments to the Agreement on Common Principles and Rules for the Circulation of Medical Devices (Medical Devices and Medical Equipment) within the Framework of the Eurasian Economic Union dated December 23, 2014, signed on December 30, 2021 in Moscow",About the draft Law,Empty
834,"On ratification of the Protocol on Amendments to the Agreement on Common Principles and Rules for the Circulation of Medical Devices (Medical Devices and Medical Equipment) within the Framework of the Eurasian Economic Union dated December 23, 2014, signed on June 10, 2022 in the city of Nur Sultan",About the draft Law,Empty
835,"Strengthening social assistance and labor market programs signed on October 5, 2022 in Bishkek",On the ratification of the Financing Agreement between the Kyrgyz Republic and the International Development Association for the project,About the draft Law
836,"On the ratification of the Agreement between the Cabinet of Ministers of the Kyrgyz Republic and the Government of the Russian Federation on the conditions of the educational organization, signed on November 2, 2022 in Bishkek",About the draft Law,Empty
837,"On the ratification of the Agreement between the Cabinet of Ministers of the Kyrgyz Republic and the Government of the Russian Federation on the conditions of the educational organization, signed on November 2, 2022 in Bishkek",About the draft Law,Empty
838,"On the ratification of the Agreement between the Cabinet of Ministers of the Kyrgyz Republic and the Government of the Russian Federation on the conditions of the educational organization, signed on November 2, 2022 in Bishkek",About the draft Law,Empty
839,On amendments to some resolutions of the Jogorku Kenesh of the Kyrgyz Republic,On the draft resolution of the Jogorku Kenesh,Empty
840,"On State guarantees to ethnic Kyrgyz resettling in the Kyrgyz Republic"", On citizenship of the Kyrgyz Republic"")""",About the draft Law,On amendments to some legislative acts of the Kyrgyz Republic (laws
841,On the Certificate of Honor of the Jogorku Kenesh of the Kyrgyz Republic,About the draft Law,Empty
842,On the status of the deputy of the Jogorku Kenesh of the Kyrgyz Republic,About the draft Law,Empty
843,On the status of the deputy of the Jogorku Kenesh of the Kyrgyz Republic,About the draft Law,Empty
844,On the appointment of an independent auditor to audit the financial statements of the Accounting Chamber of the Kyrgyz Republic,On the draft resolution of the Jogorku Kenesh,Empty
845,"On the establishment of military ranks, class ranks, special class ranks and special ranks",On amendments to the Law of the Kyrgyz Republic,About the draft Law
846,"On the bodies and institutions of the penal enforcement (penitentiary) system"", On the procedure and conditions of detention of persons detained on suspicion and charges of committing crimes"")""",About the draft Law,On amendments to some Legislative Acts of the Kyrgyz Republic (laws
847,About virtual assets),On amendments to the Law of the Kyrgyz Republic,About the draft Law
848,On the introduction of the Tax Code of the Kyrgyz Republic,On amendments to the Law of the Kyrgyz Republic,About the draft Law
849,On the republican budget of the Kyrgyz Republic for 2022 and the forecast for 2023-2024,On amendments to the Law of the Kyrgyz Republic,About the draft Law
850,On the republican budget of the Kyrgyz Republic for 2023 and the planning period 2024-2025,About the draft Law,Empty
851,"On Order No. 549-r of the Cabinet of Ministers of the Kyrgyz Republic dated October 10, 2022",On the draft resolution of the Jogorku Kenesh,Empty
852,"On Order No. 576-r of the Cabinet of Ministers of the Kyrgyz Republic dated October 26, 2022",On the draft resolution of the Jogorku Kenesh,Empty
853,On the budget of the Compulsory Medical Insurance Fund under the Ministry of Health of the Kyrgyz Republic for 2022 and the forecast for 2023-2024,On amendments to the Law of the Kyrgyz Republic,About the draft Law
854,On the budget of the Compulsory Medical Insurance Fund under the Ministry of Health of the Kyrgyz Republic for 2023 and the planning period 2024-2025,About the draft Law,Empty
855,On the Regulations of the Jogorku Kenesh of the Kyrgyz Republic,On amendments to the Law of the Kyrgyz Republic,About the draft Law
856,On the Regulations of the Jogorku Kenesh of the Kyrgyz Republic,On amendments to the Law of the Kyrgyz Republic,About the draft Law
857,On the Regulations of the Jogorku Kenesh of the Kyrgyz Republic,On amendments to the Law of the Kyrgyz Republic,About the draft Law
858,On the budget of the Social Fund of the Kyrgyz Republic for 2022 and the forecast for 2023-2024,On amendments to the Law of the Kyrgyz Republic,About the draft Law
859,On the budget of the Social Fund of the Kyrgyz Republic for 2023 and the planning period 2024-2025,About the draft Law,Empty
860,About public procurement,On amendments to the Law of the Kyrgyz Republic,About the draft Law
861,"On Joint-stock companies"", On business partnerships and companies"")""",About the draft Law,On amendments to some legislative acts of the Kyrgyz Republic (laws
862,"On operational investigative activities"", On the procedure for conducting inspections of business entities"")""",About the draft Law,On amendments to some legislative acts of the Kyrgyz Republic (laws
863,About warehouses and warehouse certificates,On amendments to the Law of the Kyrgyz Republic,About the draft Law
864,"On Amendments to the Resolution of the Government of the Kyrgyz Republic On Approval of State Duty Rates""dated April 15, 2019 No. 159""",On the draft resolution of the Jogorku Kenesh,On the draft resolution of the Cabinet of Ministers of the Kyrgyz Republic
865,On amendments to some legislative acts of the Kyrgyz Republic on labor and social security issues,About the draft Law,Empty
866,Improvement of the solid waste management system in Bishkek,On the conclusion of the provisional deputy commission for the control of the targeted use of grant and loan funds allocated by the European Bank for Reconstruction and Development to finance the project,Empty
867,On social partnership in the field of labor relations in the Kyrgyz Republic,On amendments to the Law of the Kyrgyz Republic,About the draft Law
868,On the promotion of employment,On amendments to the Law of the Kyrgyz Republic,About the draft Law
869,About senior citizens in the Kyrgyz Republic,On amendments to the Law of the Kyrgyz Republic,About the draft Law
870,"On Education"") and invalidation of the Law of the Kyrgyz Republic On State Registration of Legal Entities, branches (representative offices)""",About the draft Law,"On amendments to some legislative acts of the Kyrgyz Republic (the Civil Code, the Law"
871,On the invalidation of certain legislative acts of the Kyrgyz Republic,About the draft Law,Empty
872,On the elections of the President of the Kyrgyz Republic and deputies of the Jogorku Kenesh of the Kyrgyz Republic,On amendments to the Constitutional Law of the Kyrgyz Republic,About the draft Law
873,On amendments to some legislative acts of the Kyrgyz Republic in the field of local self-government,About the draft Law,Empty
874,About the Cabinet of Ministers of the Kyrgyz Republic,On amendments to the Constitutional Law of the Kyrgyz Republic,About the draft Law
875,"On the renaming of the Kosh-Dobonsky aiyl aimag of the Kochkor district of the Naryn region, some villages of the Osh and Talas regions and the Kara-Buurinsky district of the Talas region of the Kyrgyz Republic",About the draft Law,Empty
876,On guarantees of the activities of the President of the Kyrgyz Republic and the status of the ex-President of the Kyrgyz Republic,On amendments to the Law of the Kyrgyz Republic,About the draft Law
877,"On the ratification of the Agreement on the Implementation of Auditing Activities within the Framework of the Eurasian Economic Union, signed on April 19, 2022 in Moscow",About the draft Law,Empty
878,"On the ratification of the Agreement between the Cabinet of Ministers of the Kyrgyz Republic and the Government of the Republic of Uzbekistan on the reconstruction and equipping of the building of the Osh State Academic Uzbek Musical Drama Theater named after Babur, signed on April 1, 2022 in Osh",About the draft Law,Empty
879,About external migration,On amendments to the Law of the Kyrgyz Republic,About the draft Law
880,"On the sustainable development of the Issyk-Kul ecological and economic system"", On the pledge"")""",About the draft Law,On amendments to some legislative acts of the Kyrgyz Republic (laws
881,On approval of the composition of the committees of the Jogorku Kenesh of the Kyrgyz Republic,"On Amendments to Resolution No. 18-VII of the Jogorku Kenesh of the Kyrgyz Republic dated January 13, 2022",On the draft resolution of the Jogorku Kenesh
882,"On the establishment of a temporary deputy commission to study the implementation of the Law of the Kyrgyz Republic on Trade Unions""",On the draft resolution of the Jogorku Kenesh,"On the extension of the term of work of the temporary deputy commission established by Resolution No. 341-VII of the Jogorku Kenesh of the Kyrgyz Republic dated June 16, 2022"
883,On preventing and combating human trafficking ),On amendments to the Law of the Kyrgyz Republic,About the draft Law
884,"On the ratification of the Loan Agreement (Ordinary Operations [preferential]) (Program to increase sustainability through Active Countercyclical Spending) between the Kyrgyz Republic and the Asian Development Bank and the Grant Agreement (Special Operations) (Program to increase Sustainability through Active Countercyclical Spending) between the Kyrgyz Republic and the Asian Development Bank, signed on November 11, 2022 in the city Bishkek",About the draft Law,Empty
885,About export control,On amendments to the Law of the Kyrgyz Republic,About the draft Law
886,About the State civil service and municipal service,On amendments to the Law of the Kyrgyz Republic,About the draft Law
887,On the people's legislative initiative in the Kyrgyz Republic,On amendments to the Law of the Kyrgyz Republic,About the draft Law
888,On amendments to some legislative acts of the Kyrgyz Republic in the field of state registration of rights to real estate and transactions with it,About the draft Law,Empty
889,"On State guarantees to ethnic Kyrgyz resettling in the Kyrgyz Republic"", On citizenship of the Kyrgyz Republic"")""",About the draft Law,On amendments to some legislative acts of the Kyrgyz Republic (laws
890,On the Certificate of Honor of the Jogorku Kenesh of the Kyrgyz Republic,About the draft Law,Empty
891,About state protection,About the draft Law,Empty
892,"On ratification of the Treaty of the Member States of the Commonwealth of Independent States on Countering the Legalization (Laundering) of Proceeds from Crime, the Financing of Terrorism and the Financing of the Proliferation of Weapons of Mass Destruction, signed on October 15, 2021",About the draft Law,Empty
893,"On the ratification of the Agreement between the Government of the Kyrgyz Republic and the Government of Hungary on International Road Transport of Passengers and Goods, signed on April 8, 2021 in Bishkek",About the draft Law,Empty
894,"About war veterans, Armed Forces and home front workers",On amendments to the Law of the Kyrgyz Republic,About the draft Law
895,On the protection of State secrets of the Kyrgyz Republic,On amendments to the Law of the Kyrgyz Republic,About the draft Law
896,On amendments to some resolutions of the Jogorku Kenesh of the Kyrgyz Republic,On the draft resolution of the Jogorku Kenesh,Empty
897,On amendments to some legislative acts in the field of agriculture,About the draft Law,Empty
898,About plant quarantine,On amendments to the Law of the Kyrgyz Republic,About the draft Law
899,About the State civil service and municipal service,On amendments to the Law of the Kyrgyz Republic,About the draft Law
900,About the notary,About the draft Law,Empty
901,About the Legal Profession of the Kyrgyz Republic and advocacy,On amendments to the Law of the Kyrgyz Republic,About the draft Law
902,"On External migration"", On external labor migration"", On the legal status of foreign citizens in the Kyrgyz Republic"")""",About the draft Law,"On amendments to some legislative acts of the Kyrgyz Republic"" (laws"
903,About the state pension social insurance,On amendments to the Law of the Kyrgyz Republic,About the draft Law
904,On amendments to some legislative acts of the Kyrgyz Republic in connection with the transformation of the Government of the Kyrgyz Republic into the Cabinet of Ministers of the Kyrgyz Republic,About the draft Law,Empty
905,On the establishment of a temporary deputy commission to study the effectiveness of management and privatization of state property,"On the extension of the term of work of the temporary deputy commission established by Resolution No. 220-VII of the Jogorku Kenesh of the Kyrgyz Republic dated April 27, 2022",On the draft resolution of the Jogorku Kenesh
906,On the report on the budget execution of the Social Fund of the Kyrgyz Republic for 2021,Empty,Empty
907,On the budget of the Social Fund of the Kyrgyz Republic for 2022 and the forecast for 2023-2024,On amendments to the Law of the Kyrgyz Republic,About the draft Law
908,On the budget of the Social Fund of the Kyrgyz Republic for 2023 and the forecast for 2024-2025,About the draft Law,Empty
909,On the budget execution report of the Compulsory Medical Insurance Fund under the Ministry of Health of the Kyrgyz Republic for 2021,Empty,Empty
910,On the budget of the Compulsory Medical Insurance Fund under the Ministry of Health of the Kyrgyz Republic for 2022 and the forecast for 2023-2024,On amendments to the Law of the Kyrgyz Republic,About the draft Law
911,On the budget of the Compulsory Medical Insurance Fund under the Ministry of Health of the Kyrgyz Republic for 2023 and the planning period 2024-2025,About the draft Law,Empty
912,On the republican budget of the Kyrgyz Republic for 2022 and the forecast for 2023-2024,On amendments to the Law of the Kyrgyz Republic,About the draft Law
913,On the republican budget of the Kyrgyz Republic for 2023 and the planning period 2024-2025,About the draft Law,Empty
914,"On the ratification of the Agreement on the Use of Navigation Seals for Tracking Shipments in the Eurasian Economic Union, signed on April 19, 2022 in Moscow",About the draft Law,Empty
915,"On ratification of the Protocol on Amendments to the Treaty on the Eurasian Economic Union dated May 29, 2014, signed on March 31, 2022 in Moscow",About the draft Law,Empty
916,"On the ratification of the Loan Agreement (ordinary operations [preferential]) (Program to increase sustainability through active Countercyclical spending) between the Kyrgyz Republic and the Asian Development Bank and the Grant Agreement (special Operations) (Program to increase Sustainability through Active Countercyclical Spending) between the Kyrgyz Republic and the Asian Development Bank, signed on November 11, 2022 in the city Bishkek",About the draft Law,Empty
917,On amendments to some legislative acts of the Kyrgyz Republic in the field of road safety ),About the draft Law,Empty
918,On amendments to the Criminal Procedure Code of the Kyrgyz Republic,About the draft Law,Empty
919,"On approval of the composition of the committees of the Jogorku Kenesh of the Kyrgyz Republic No. 18-VII dated January 13, 2022",On amendments to the resolution of the Jogorku Kenesh of the Kyrgyz Republic,On the draft resolution of the Jogorku Kenesh
920,About cooperatives,On amendments to the Law of the Kyrgyz Republic,About the draft Law
921,On amendments to the Code of the Kyrgyz Republic on Non-tax income,About the draft Law,Empty
922,About official statistics,On amendments to the Law of the Kyrgyz Republic,About the draft Law
923,"On the establishment of military ranks, class ranks, special class ranks and special ranks",On amendments to the Law of the Kyrgyz Republic,About the draft Law
924,"On citizenship of the Kyrgyz Republic, On external migration"")""",About the draft Law,On amendments to some legislative acts of the Kyrgyz Republic (laws
925,About state and municipal services,On amendments to the Law of the Kyrgyz Republic,About the draft Law
926,"On ratification of the Protocol on Amendments to the Agreement on Common Principles and Rules for the Circulation of Medical Devices (Medical Devices and Medical Equipment) within the Framework of the Eurasian Economic Union dated December 23, 2014, signed on December 30, 2021 in Moscow,",About the draft Law,Empty
927,"On the ratification of the Agreement on the Implementation of Auditing Activities within the Framework of the Eurasian Economic Union, signed on April 19, 2022 in Moscow,",About the draft Law,Empty
928,"On the ratification of the Agreement between the Cabinet of Ministers of the Kyrgyz Republic and the Government of the Republic of Uzbekistan on the reconstruction and equipping of the building of the Osh State Academic Uzbek Musical Drama Theater named after Babur, signed on April 1, 2022 in Osh,",About the draft Law,Empty
929,About the Commission for consideration of materials on awarding the Honorary Diploma of the Jogorku Kenesh of the Kyrgyz Republic,On the draft resolution of the Jogorku Kenesh,Empty
930,About public procurement,On amendments to the Law of the Kyrgyz Republic,About the draft Law
931,"On Joint-stock companies"", On business partnerships and companies"")"",",About the draft Law,On amendments to some legislative acts of the Kyrgyz Republic (laws
932,"About trademarks, service marks, geographical indications and names of places of origin of goods,",About the draft Law,Empty
933,About the State civil service and municipal service,On amendments to the Law of the Kyrgyz Republic,About the draft Law
934,On guarantees of the activities of the President of the Kyrgyz Republic and the status of the ex-President of the Kyrgyz Republic,On amendments to the Law of the Kyrgyz Republic,About the draft Law
935,"On energy saving"", On the energy efficiency of buildings"")""",About the draft Law,On amendments to some legislative acts of the Kyrgyz Republic in the field of energy saving (laws
936,"On the election of the chairman and deputy chairmen of the temporary deputy commission for the study of the issue related to the office space of Deputy of the Jogorku Kenesh of the Kyrgyz Republic Bakirov O.M., established by Resolution of the Jogorku Kenesh of the Kyrgyz Republic dated November 24, 2022 No. 655-VII",On the draft resolution of the Jogorku Kenesh,Empty
937,"On ratification of the Protocol on Amendments to the Treaty on the Eurasian Economic Union dated May 29, 2014 regarding pension provision for Officials and Employees of the Eurasian Economic Commission and the Court of the Eurasian Economic Union who are Citizens of the Russian Federation, signed on March 24, 2022 in Moscow",About the draft Law,Empty
938,"On ratification of the Protocol on Amendments to the Protocol on Conditions and Transitional Provisions for the Application by the Kyrgyz Republic of the Treaty on the Eurasian Economic Union dated May 29, 2014, certain international treaties included in the Law of the Eurasian Economic Union, and acts of the bodies of the Eurasian Economic Union in connection with the accession of the Kyrgyz Republic to the Treaty on the Eurasian Economic Union dated May 29 2014, signed on May 8, 2015, signed on April 19, 2022 in Moscow",About the draft Law,Empty
939,"On ratification of the Treaty of the Member States of the Commonwealth of Independent States on Countering the Legalization (Laundering) of Proceeds from Crime, the Financing of Terrorism and the Financing of the Proliferation of Weapons of Mass Destruction, signed on October 15, 2021",About the draft Law,Empty
940,"On the ratification of the Agreement between the Government of the Kyrgyz Republic and the Government of Hungary on International Road Transport of Passengers and Goods, signed on April 8, 2021 in Bishkek",About the draft Law,Empty
941,"About war veterans, Armed Forces and home front workers",On amendments to the Law of the Kyrgyz Republic,About the draft Law
942,"Increasing Sustainability through Active Countercyclical Spending (BRACE) under the ADB Stabilization (Countercyclical) mechanism"") between the Kyrgyz Republic and the Asian Development Bank, Grant Agreement (Special Operations) (Increasing Sustainability through Active Countercyclical Spending (BRACE) under the ADB stabilization (countercyclical) mechanism"") between the Kyrgyz Republic and the Asian Development Bank signed by the Development Bank on November 11, 2022 in Bishkek""",About the draft Law,On the ratification of the Loan Agreement (ordinary transactions on preferential terms) (
943,On amendments to some legislative acts of the Kyrgyz Republic in the field of social security,About the draft Law,Empty
944,On countering extremist activities,About the draft Law,Empty
945,About external migration,On amendments to the Law of the Kyrgyz Republic,About the draft Law
946,On amendments to the Code of the Kyrgyz Republic on Offenses,About the draft Law,Empty
947,On amendments to the Criminal Procedure Code of the Kyrgyz Republic,About the draft Law,Empty
948,About education),"On amendments to some legislative acts of the Kyrgyz Republic (the Budget Code, the Law",About the draft Law
949,Patent Law,About the draft Law,Empty
950,On approval of the amount of monetary remuneration of the award of the Interparliamentary Assembly of the Commonwealth of Independent States named after Chingiz Aitmatov for 2023,On the draft resolution of the Jogorku Kenesh,Empty
951,On the report on the execution of the republican budget of the Kyrgyz Republic for 2021,Empty,Empty
952,On the republican budget of the Kyrgyz Republic for 2022 and the forecast for 2023-2024,On amendments to the Law of the Kyrgyz Republic,About the draft Law
953,On the republican budget of the Kyrgyz Republic for 2023 and the planning period 2024-2025,About the draft Law,Empty
954,On industrial safety of hazardous production facilities),On amendments to the Law of the Kyrgyz Republic,About the draft Law
955,About virtual assets),On amendments to the Law of the Kyrgyz Republic,About the draft Law
956,"On Domestic Trade in the Kyrgyz Republic, Code of Offences)",On amendments to some legislative acts of the Kyrgyz Republic (the law,About the draft Law
957,About organic production,About the draft Law,Empty
958,"On acts of civil status ,",On amendments to the Law of the Kyrgyz Republic,About the draft Law
959,About export control,On amendments to the Law of the Kyrgyz Republic,About the draft Law
960,On countering the financing of terrorist activities and the legalization (laundering) of criminal proceeds,On amendments to the Law of the Kyrgyz Republic,About the draft Law
961,"On the ratification of the Agreement on the Use of Navigation Seals for Tracking Shipments in the Eurasian Economic Union, signed on April 19, 2022 in Moscow",About the draft Law,Empty
962,"On ratification of the Protocol on Amendments to the Treaty on the Eurasian Economic Union dated May 29, 2014, signed on March 31, 2022 in Moscow",About the draft Law,Empty
963,On amendments to some resolutions of the Jogorku Kenesh of the Kyrgyz Republic,On the draft resolution of the Jogorku Kenesh,Empty
964,"On the ratification of the Agreement between the Kyrgyz Republic and the Republic of Uzbekistan on certain sections of the Kyrgyz-Uzbek State Border, signed on November 3, 2022 in Bishkek",About the draft Law,Empty
965,"On the ratification of the Agreement between the Kyrgyz Republic and the Republic of Uzbekistan on certain sections of the Kyrgyz-Uzbek State Border, signed on November 3, 2022 in Bishkek",About the draft Law,Empty
966,"On the ratification of the Agreement between the Kyrgyz Republic and the Republic of Uzbekistan on certain sections of the Kyrgyz-Uzbek State Border, signed on November 3, 2022 in Bishkek",About the draft Law,Empty
967,"On ratification of the Agreement between the Cabinet of Ministers of the Kyrgyz Republic and the Government of the Republic of Uzbekistan on joint management of water resources of the Kempirabad (Andijan) reservoir, signed on November 3, 2022 in Bishkek",About the draft Law,Empty
968,"On ratification of the Agreement between the Cabinet of Ministers of the Kyrgyz Republic and the Government of the Republic of Uzbekistan on joint management of water resources of the Kempirabad (Andijan) reservoir, signed on November 3, 2022 in Bishkek",About the draft Law,Empty
969,"On ratification of the Agreement between the Cabinet of Ministers of the Kyrgyz Republic and the Government of the Republic of Uzbekistan on joint management of water resources of the Kempirabad (Andijan) reservoir, signed on November 3, 2022 in Bishkek",About the draft Law,Empty
970,On amendments to the Labor Code of the Kyrgyz Republic,About the draft Law,Empty
971,About collective agreements,On amendments to the Law of the Kyrgyz Republic,About the draft Law
972,"On the ratification of the Agreement on the Specifics of the Application of Enforcement of the Obligation to Pay Customs Duties, Taxes, Special, Anti-dumping, Countervailing Duties during the Carriage (Transportation) of Goods in accordance with the Customs Procedure of Customs Transit, signed on April 19, 2022 in Moscow",About the draft Law,Empty
